name,category,group,satisfied_with_area,local_govt_responsive,police_approval,suitable_employment,good_to_raise_kids,good_cond_of_parks,influence_over_local_govt,access_to_car,evicted,received_evict_notice,locations_in_walking_dist,safe_sidewalks,safe_biking,rec_facilities_avail,trust_neighbors,youth_have_role_models,neighbors_improving_area,safe_walking_at_night,would_save_fire_station,youth_likely_graduate_hs,youth_likely_job_w_opportunity,youth_likely_in_gang,youth_likely_abuse_drugs_alc,youth_likely_felony,very_good_self_rate_health,life_satisfaction,happy,anxious,diabetes,have_health_insurance,didnt_get_med_care,postponed_med_care,couldnt_afford_rx,altered_rx,asthma,no_medical_home,visited_er,dental_visit_past_yr,receive_emotional_support,depression,smoking,heavy_drinking,know_someone_abusing_opioids,know_someone_died_opioids,financial_insecurity,less_than_2mo_savings,negative_net_worth,underemployment,no_bank_account,food_insecurity,housing_insecurity,utility_insecurity,discrim_in_workplace,discrim_by_police,discrim_getting_service,discrim_in_housing,discrim_in_healthcare
Bridgeport,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,0.07,0.02,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,0.84,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,0.07,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,0.15,0.09,0.13,0.08,0.1,0.27,0.11,,0.04,0.1
Bridgeport,Total,Total,0.69,0.31,0.47,0.28,0.31,0.54,0.63,0.77,0.13,0.03,0.79,0.78,0.48,0.61,0.6,0.48,0.65,0.43,0.69,0.62,0.4,0.33,0.43,0.34,0.44,0.56,0.61,0.17,0.13,0.89,0.14,0.25,0.13,0.11,0.14,0.19,0.32,0.62,0.56,0.14,0.21,0.05,0.24,0.18,0.52,0.46,0.3,0.26,0.21,0.28,0.13,0.23,0.31,0.18,,0.1,0.14
Bridgeport,Gender,Male,0.7,0.36,0.53,0.3,0.33,0.57,0.64,0.76,0.13,0.02,0.8,0.81,0.54,0.67,0.64,0.46,0.69,0.46,,0.61,0.41,0.33,0.48,0.34,0.45,0.53,0.62,0.17,0.12,0.86,0.13,0.22,0.12,,0.11,0.24,0.31,0.58,0.57,0.12,0.26,0.06,0.27,0.22,0.5,0.39,0.26,0.28,0.21,0.28,0.15,0.19,0.36,0.25,,0.1,0.14
Bridgeport,Gender,Female,0.67,0.26,0.44,0.25,0.29,0.52,0.63,0.76,0.13,0.05,0.77,0.75,0.44,0.57,0.58,0.48,0.61,0.41,,0.64,0.4,0.34,0.39,0.33,0.45,0.57,0.6,0.17,0.14,0.92,0.15,0.28,0.14,,0.17,0.14,0.33,0.64,0.55,0.16,0.16,0.04,0.21,0.15,0.53,0.52,0.33,0.24,0.21,0.29,0.11,0.26,0.28,0.11,,0.09,0.14
Bridgeport,Age,Ages 18-34,0.75,0.32,0.45,0.34,0.27,0.51,0.66,0.66,,,0.83,0.83,0.53,0.64,0.52,0.41,0.54,0.38,,0.55,0.38,0.42,0.57,0.37,0.5,0.51,0.59,0.14,0.03,0.89,0.13,0.25,0.1,,,0.33,0.29,0.54,0.5,0.18,0.21,0.08,0.24,0.15,0.57,0.48,0.24,,0.3,0.33,0.13,0.22,0.19,0.18,,0.08,0.18
Bridgeport,Age,Ages 35-49,0.58,0.26,0.39,0.22,0.23,0.47,0.66,0.82,,,0.81,0.71,0.49,0.58,0.54,0.47,0.65,0.46,,0.61,0.45,0.33,0.35,0.39,0.45,0.51,0.57,0.2,0.07,0.83,0.2,0.36,0.19,,,0.18,0.32,0.65,0.51,0.11,0.27,0.07,0.29,0.19,0.51,0.52,0.36,,0.16,0.31,0.17,0.24,0.43,0.24,,0.17,0.11
Bridgeport,Age,Ages 50-64,0.65,0.27,0.51,0.17,0.3,0.55,0.55,0.83,,,0.75,0.75,0.42,0.65,0.7,0.48,0.73,0.52,,0.72,0.38,0.23,0.34,0.34,0.43,0.56,0.62,0.17,0.25,0.88,0.13,0.23,0.15,,,,0.33,0.64,0.62,0.1,0.26,0.03,0.29,0.2,0.56,0.43,0.4,,0.2,0.31,0.16,0.34,0.43,0.16,,0.08,0.16
Bridgeport,Age,Ages 65+,0.75,0.35,0.61,0.3,0.48,0.66,0.67,0.78,,,0.7,0.79,0.48,0.57,0.79,0.57,0.78,0.45,,0.78,0.39,0.19,0.35,0.18,0.3,0.61,0.67,0.17,0.31,0.98,0.08,0.16,0.09,,,,0.35,0.65,0.7,0.17,0.14,0.01,0.15,0.2,0.37,0.42,0.24,,0.1,0.13,0.06,0.12,0.27,0.12,,0.03,0.06
Bridgeport,Education,Bachelor's or higher,0.73,0.27,0.58,0.28,0.27,0.61,0.66,0.85,,,0.77,0.83,0.56,0.68,0.64,0.43,0.67,0.46,,0.65,0.39,0.33,0.47,0.29,0.57,0.62,0.66,0.11,0.07,0.92,0.11,0.27,0.11,,,,0.19,0.68,0.66,0.08,0.18,0.04,0.23,0.17,0.38,0.35,0.21,,0.06,0.17,0.07,0.13,0.32,0.18,,0.05,0.09
Bridgeport,Education,High school or less,0.69,0.35,0.43,0.29,0.31,0.48,0.6,0.68,,,0.8,0.77,0.52,0.58,0.57,0.49,0.62,0.38,,0.6,0.48,0.34,0.4,0.34,0.38,0.54,0.58,0.2,0.18,0.83,0.14,0.23,0.18,,,,0.39,0.6,0.52,0.17,0.23,0.04,0.21,0.17,0.56,0.5,0.35,,0.33,0.34,0.18,0.29,0.27,0.16,,0.1,0.12
Bridgeport,Education,Some college or Associate's,0.65,0.27,0.45,0.26,0.33,0.54,0.65,0.78,,,0.79,0.75,0.41,0.61,0.61,0.48,0.67,0.49,,0.65,0.33,0.35,0.44,0.39,0.42,0.47,0.59,0.19,0.11,0.91,0.16,0.26,0.1,,,,0.33,0.59,0.54,0.15,0.22,0.07,0.28,0.19,0.57,0.52,0.31,,0.19,0.31,0.14,0.22,0.37,0.21,,0.14,0.19
Bridgeport,Income,$75K+,0.72,0.31,0.58,0.27,0.26,0.63,0.69,0.94,,,0.79,0.85,0.54,0.69,0.72,0.49,0.73,0.49,,0.58,0.38,0.31,0.41,0.25,0.55,0.73,0.66,0.16,0.09,0.93,0.11,0.21,0.07,,,,0.23,0.69,0.72,0.06,0.15,0.09,0.28,0.19,0.21,0.2,0.1,,0.11,0.13,0.05,0.2,0.22,0.18,,0.04,0.12
Bridgeport,Income,<$30K,0.7,0.34,0.4,0.27,0.3,0.47,0.64,0.61,,,0.78,0.77,0.5,0.6,0.56,0.48,0.61,0.37,,0.66,0.36,0.37,0.51,0.37,0.36,0.44,0.53,0.2,0.17,0.85,0.17,0.26,0.17,,,0.22,0.41,0.56,0.48,0.21,0.27,0.05,0.28,0.2,0.68,0.63,0.46,,0.34,0.45,0.2,0.3,0.38,0.22,,0.16,0.19
Bridgeport,Income,$30K-$75K,0.63,0.24,0.44,0.3,0.32,0.54,0.65,0.83,,,0.81,0.75,0.43,0.61,0.61,0.44,0.64,0.47,,0.59,0.45,0.29,0.38,0.33,0.48,0.54,0.62,0.14,0.13,0.89,0.14,0.32,0.13,,,,0.26,0.6,0.56,0.12,0.19,0.04,0.2,0.17,0.51,0.41,0.28,,0.1,0.24,0.12,0.19,0.35,0.16,,0.08,0.12
Bridgeport,Race/Ethnicity,White,0.72,0.31,0.59,0.31,0.33,0.66,0.62,0.84,,,0.75,0.78,0.52,0.62,0.71,0.53,0.72,0.48,,0.68,0.39,0.26,0.4,0.26,0.46,0.57,0.6,0.17,0.13,0.94,0.15,0.3,0.15,,,0.13,0.27,0.68,0.63,0.13,0.26,,0.35,0.31,0.46,0.43,0.26,,0.1,0.22,0.11,0.12,0.25,0.12,,0.03,0.08
Bridgeport,Race/Ethnicity,Black,0.64,0.24,0.35,0.23,0.26,0.43,0.67,0.7,,,0.76,0.75,0.41,0.56,0.56,0.42,0.67,0.43,,0.65,0.42,0.43,0.49,0.46,0.47,0.56,0.62,0.19,0.13,0.88,0.13,0.22,0.12,,,0.2,0.34,0.59,0.58,0.15,0.22,,0.16,0.13,0.55,0.44,0.32,,0.24,0.3,0.15,0.28,0.31,0.23,,0.1,0.12
Bridgeport,Race/Ethnicity,Latino,0.67,0.33,0.42,0.33,0.32,0.48,0.72,0.76,,,0.8,0.74,0.52,0.6,0.55,0.45,0.56,0.41,,0.56,0.47,0.49,0.59,0.49,0.5,0.54,0.57,0.21,0.11,0.84,0.15,0.29,0.19,,,0.27,0.41,0.68,0.51,0.16,0.21,,0.3,0.21,0.52,0.57,0.31,,0.26,0.37,0.13,0.29,0.32,0.2,,0.12,0.16
Bridgeport,With children,No children in household,0.7,0.31,0.54,0.25,0.29,0.58,0.63,0.78,0.1,0.04,0.75,0.79,0.48,0.64,0.63,0.49,0.68,0.45,,0.63,0.4,0.34,0.45,0.31,0.4,0.57,0.62,0.16,0.17,0.9,0.12,0.23,0.12,,0.13,0.17,0.28,0.61,0.58,0.1,0.22,0.03,0.22,0.2,0.48,0.4,0.29,0.25,0.15,0.23,0.11,0.17,0.33,0.16,,0.07,0.11
Bridgeport,With children,Children in household,0.67,0.29,0.38,0.31,0.32,0.49,0.65,0.72,0.16,0.02,0.85,0.76,0.47,0.56,0.57,0.44,0.6,0.41,,0.63,0.4,0.34,0.43,0.37,0.52,0.52,0.59,0.18,0.05,0.87,0.15,0.28,0.15,,0.16,0.21,0.37,0.61,0.53,0.2,0.21,0.07,0.28,0.15,0.58,0.55,0.32,0.28,0.3,0.38,0.17,0.33,0.31,0.22,,0.14,0.19
Bristol,Connecticut,Connecticut,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,,,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,,0.09,0.13,0.08,0.1,0.27,0.11,,0.04,0.1
Bristol,Total,Total,0.74,0.45,0.75,0.44,0.67,0.73,0.66,0.89,,,0.64,0.74,0.55,0.69,0.83,0.7,0.69,0.7,,0.85,0.47,0.06,0.36,0.1,0.6,0.61,0.7,0.11,0.13,0.93,0.12,0.28,0.09,,0.11,0.12,0.28,0.7,0.68,0.09,0.15,0.04,0.37,0.29,0.36,0.4,0.18,,0.11,0.16,0.11,0.14,0.26,0.1,,0.09,0.12
Bristol,Gender,Male,0.8,0.47,0.75,0.48,0.74,0.76,0.67,0.89,,,0.65,0.77,0.56,0.72,0.87,0.74,0.74,0.7,,,,,,,0.6,0.64,0.74,0.09,0.16,0.9,0.14,0.26,0.1,,,,0.25,0.73,0.72,0.06,,,,,0.27,,,,0.15,0.14,0.12,,,0.17,,,
Bristol,Gender,Female,0.68,0.45,0.75,0.42,0.58,0.69,0.66,0.9,,,0.64,0.69,0.56,0.66,0.8,0.66,0.66,0.69,,,,,,,0.6,0.58,0.64,0.12,0.11,0.96,0.11,0.3,0.09,,,,0.31,0.69,0.65,0.11,,,,,0.45,,,,0.07,0.19,0.1,,,0.02,,,
Bristol,Age,Under age 55,0.73,0.46,0.71,0.41,0.61,0.66,0.65,0.89,,,0.7,0.77,0.55,0.7,0.77,0.66,0.67,0.74,,,,,,,0.62,0.59,0.66,0.12,0.06,0.93,0.13,0.35,0.11,,,,0.33,0.7,0.66,0.11,,,,,0.38,,,,0.16,0.2,0.15,,,0.13,,,
Bristol,Age,Age 55 or older,0.76,0.47,0.82,0.51,0.73,0.84,0.65,0.89,,,0.56,0.66,0.58,0.66,0.94,0.74,0.74,0.62,,,,,,,0.57,0.63,0.73,0.07,0.26,0.94,0.11,0.16,0.06,,,,0.21,0.72,0.73,0.06,,,,,0.32,,,,0.04,0.1,0.05,,,0.04,,,
Bristol,Education,Some college or less,0.77,0.44,0.73,0.48,0.66,0.71,0.64,0.87,,,0.7,0.78,0.53,0.72,0.8,0.69,0.69,0.68,,,,,,,0.57,0.58,0.68,0.1,0.14,0.91,0.13,0.27,0.11,,,,0.31,0.7,0.66,0.1,,,,,0.35,,,,0.14,0.17,0.14,,,0.12,,,
Bristol,Education,Bachelor's or higher,0.7,0.49,0.8,0.37,0.67,0.78,0.73,0.95,,,0.52,0.62,0.6,0.6,0.9,0.72,0.74,0.77,,,,,,,0.67,0.69,0.72,0.11,0.13,0.98,0.1,0.32,0.06,,,,0.2,0.75,0.75,0.06,,,,,0.39,,,,0.05,0.16,0.04,,,0.05,,,
Bristol,Income,<$75K,0.73,0.42,0.67,0.41,0.64,0.68,0.65,0.85,,,0.69,0.74,0.53,0.71,0.75,0.62,0.67,0.68,,,,,,,0.48,0.43,0.58,0.17,0.14,0.9,0.17,0.35,0.14,,,,0.35,0.6,0.58,0.15,,,,,0.51,,,,0.16,0.28,0.17,,,0.12,,,
Bristol,Income,$75K+,0.73,0.49,0.85,0.51,0.66,0.76,0.68,0.96,,,0.61,0.76,0.56,0.68,0.92,0.77,0.73,0.7,,,,,,,0.76,0.84,0.84,0.01,0.09,0.97,0.06,0.21,0.05,,,,0.19,0.81,0.84,0,,,,,0.17,,,,0.05,0.03,0.04,,,0.08,,,
Bristol,With children,No children in household,0.75,0.45,0.74,0.45,0.68,0.75,0.64,0.87,,,0.64,0.74,0.56,0.69,0.87,0.73,0.7,0.73,,,,,,,0.62,0.6,0.67,0.09,0.16,0.93,0.14,0.27,0.07,,,,0.26,0.71,0.7,0.08,,,,,0.33,,,,0.11,0.12,0.12,,,0.08,,,
Bristol,With children,Children in household,0.7,0.46,0.77,0.43,0.6,0.68,0.7,0.92,,,0.64,0.68,0.54,0.65,0.76,0.62,0.7,0.64,,,,,,,0.52,0.64,0.71,0.14,0.08,0.94,0.09,0.31,0.14,,,,0.31,0.68,0.64,0.1,,,,,0.46,,,,0.12,0.27,0.11,,,0.12,,,
Connecticut,Total,Total,0.82,0.51,0.78,0.5,0.75,0.75,0.72,0.88,0.07,0.02,0.54,0.61,0.63,0.7,0.85,0.78,0.77,0.7,0.84,0.88,0.59,0.08,0.29,0.11,0.59,0.67,0.7,0.12,0.1,0.95,0.09,0.23,0.09,0.07,0.11,0.12,0.26,0.74,0.71,0.09,0.14,0.06,0.31,0.24,0.33,0.33,0.17,0.15,0.09,0.13,0.08,0.1,0.27,0.11,0.1,0.04,0.1
Connecticut,Gender,Male,0.82,0.51,0.78,0.52,0.76,0.74,0.72,0.89,0.08,0.01,0.55,0.62,0.66,0.72,0.86,0.79,0.79,0.74,0.85,0.88,0.6,0.09,0.29,0.11,0.61,0.68,0.69,0.12,0.11,0.94,0.09,0.2,0.07,0.06,0.07,0.13,0.25,0.74,0.7,0.09,0.15,0.07,0.31,0.25,0.28,0.27,0.14,0.14,0.09,0.11,0.08,0.09,0.27,0.16,0.1,0.04,0.08
Connecticut,Gender,Female,0.81,0.53,0.79,0.5,0.73,0.74,0.7,0.88,0.06,0.02,0.53,0.59,0.6,0.67,0.85,0.76,0.77,0.65,0.85,0.87,0.57,0.09,0.3,0.11,0.57,0.65,0.68,0.13,0.09,0.96,0.09,0.26,0.1,0.07,0.13,0.1,0.28,0.76,0.7,0.11,0.13,0.05,0.31,0.23,0.36,0.38,0.2,0.17,0.09,0.15,0.08,0.12,0.28,0.07,0.1,0.04,0.13
Connecticut,Age,Ages 18-34,0.79,0.44,0.7,0.48,0.66,0.66,0.71,0.84,0.06,0.01,0.65,0.69,0.66,0.71,0.76,0.7,0.7,0.66,0.83,0.82,0.58,0.12,0.36,0.16,0.62,0.58,0.62,0.18,0.03,0.92,0.13,0.3,0.12,0.08,0.13,0.23,0.3,0.68,0.64,0.16,0.17,0.09,0.35,0.26,0.42,0.46,0.24,0.24,0.15,0.21,0.11,0.14,0.23,0.13,0.15,0.05,0.14
Connecticut,Age,Ages 35-49,0.79,0.48,0.75,0.52,0.72,0.72,0.69,0.91,0.08,0.03,0.56,0.6,0.63,0.71,0.84,0.75,0.77,0.72,0.8,0.88,0.61,0.1,0.27,0.13,0.6,0.62,0.68,0.11,0.06,0.95,0.11,0.28,0.1,0.07,0.12,0.14,0.27,0.74,0.67,0.09,0.18,0.07,0.33,0.24,0.39,0.39,0.22,0.12,0.09,0.17,0.09,0.16,0.32,0.15,0.11,0.05,0.12
Connecticut,Age,Ages 50-64,0.82,0.52,0.81,0.49,0.77,0.76,0.69,0.92,0.08,0.02,0.47,0.56,0.62,0.68,0.89,0.83,0.81,0.76,0.89,0.9,0.59,0.07,0.27,0.09,0.59,0.69,0.7,0.09,0.12,0.96,0.08,0.23,0.09,0.08,0.09,0.06,0.23,0.79,0.71,0.08,0.14,0.05,0.33,0.27,0.33,0.28,0.12,0.11,0.07,0.1,0.07,0.09,0.34,0.11,0.1,0.04,0.1
Connecticut,Age,Ages 65+,0.85,0.62,0.88,0.54,0.82,0.84,0.75,0.89,0.02,0.01,0.45,0.56,0.62,0.68,0.93,0.85,0.85,0.68,0.9,0.93,0.6,0.08,0.25,0.08,0.53,0.77,0.77,0.1,0.21,0.98,0.05,0.11,0.04,0.03,0.07,0.03,0.27,0.77,0.81,0.06,0.08,0.02,0.24,0.2,0.2,0.19,0.09,0.1,0.05,0.04,0.04,0.03,0.2,0.06,0.03,0.02,0.05
Connecticut,Education,Bachelor's or higher,0.85,0.57,0.84,0.55,0.81,0.8,0.77,0.95,0.02,0,0.48,0.56,0.63,0.71,0.9,0.85,0.82,0.76,0.88,0.92,0.66,0.05,0.24,0.06,0.68,0.73,0.75,0.09,0.07,0.97,0.07,0.21,0.06,0.04,0.09,0.1,0.19,0.82,0.76,0.05,0.07,0.04,0.28,0.22,0.24,0.25,0.11,0.1,0.04,0.07,0.05,0.06,0.26,0.09,0.09,0.03,0.08
Connecticut,Education,High school or less,0.79,0.43,0.7,0.45,0.65,0.66,0.62,0.77,0.11,0.04,0.64,0.67,0.61,0.66,0.76,0.7,0.72,0.6,0.81,0.78,0.51,0.16,0.38,0.22,0.48,0.59,0.64,0.17,0.14,0.9,0.12,0.23,0.12,0.11,0.12,0.15,0.34,0.65,0.64,0.14,0.23,0.07,0.33,0.27,0.43,0.43,0.25,0.26,0.2,0.21,0.11,0.14,0.23,0.13,0.11,0.05,0.11
Connecticut,Education,Some college or Associate's,0.78,0.48,0.75,0.47,0.7,0.71,0.68,0.88,0.07,0.01,0.55,0.61,0.63,0.7,0.83,0.74,0.76,0.69,0.84,0.86,0.54,0.1,0.31,0.12,0.54,0.61,0.64,0.14,0.1,0.94,0.1,0.26,0.1,0.08,0.12,0.12,0.31,0.71,0.67,0.12,0.18,0.07,0.35,0.27,0.4,0.38,0.19,0.19,0.08,0.17,0.09,0.14,0.33,0.13,0.11,0.05,0.14
Connecticut,Income,<$15K,0.74,0.4,0.61,0.33,0.54,0.61,0.61,0.6,0.11,0.02,0.7,0.69,0.61,0.63,0.67,0.59,0.66,0.54,0.75,0.7,0.43,0.21,0.4,0.25,0.38,0.43,0.49,0.24,0.16,0.9,0.17,0.28,0.16,,0.17,0.2,0.42,0.55,0.53,0.28,0.25,0.06,0.28,0.23,0.66,0.61,0.41,0.61,0.34,0.38,0.17,0.2,0.33,0.15,0.05,0.08,0.19
Connecticut,Income,$15K-$30K,0.76,0.43,0.67,0.39,0.62,0.65,0.62,0.79,0.1,0.02,0.62,0.68,0.6,0.65,0.74,0.67,0.69,0.59,0.82,0.78,0.47,0.15,0.38,0.18,0.42,0.48,0.57,0.18,0.16,0.9,0.15,0.3,0.14,,0.15,0.14,0.39,0.59,0.58,0.19,0.23,0.07,0.35,0.27,0.59,0.55,0.34,0.36,0.15,0.3,0.14,0.19,0.34,0.15,0.11,0.07,0.16
Connecticut,Income,$30K-$50K,0.79,0.47,0.73,0.43,0.67,0.72,0.67,0.88,0.06,0.03,0.64,0.67,0.6,0.71,0.8,0.71,0.73,0.64,0.84,0.84,0.57,0.12,0.35,0.19,0.49,0.57,0.63,0.14,0.12,0.93,0.1,0.26,0.1,,0.1,0.17,0.28,0.68,0.66,0.1,0.19,0.04,0.32,0.24,0.47,0.42,0.24,0.21,0.09,0.2,0.09,0.14,0.3,0.12,0.16,0.04,0.12
Connecticut,Income,$50K-$75K,0.81,0.51,0.77,0.48,0.73,0.74,0.71,0.93,0.05,0.01,0.57,0.62,0.65,0.7,0.84,0.77,0.79,0.7,0.88,0.86,0.55,0.09,0.27,0.11,0.6,0.62,0.67,0.12,0.1,0.95,0.09,0.24,0.1,,0.1,0.15,0.25,0.73,0.66,0.1,0.14,0.06,0.33,0.27,0.38,0.33,0.17,0.12,0.07,0.12,0.08,0.13,0.26,0.12,0.1,0.03,0.12
Connecticut,Income,$75K-$100K,0.83,0.5,0.81,0.54,0.76,0.74,0.73,0.96,0.01,0,0.53,0.6,0.64,0.72,0.87,0.82,0.77,0.72,0.88,0.91,0.6,0.06,0.29,0.09,0.65,0.72,0.73,0.09,0.08,0.97,0.09,0.24,0.09,,0.09,0.1,0.24,0.8,0.74,0.05,0.11,0.05,0.33,0.26,0.25,0.3,0.1,0.07,0.04,0.07,0.06,0.09,0.27,0.1,0.13,0.03,0.08
Connecticut,Income,$100K-$200K,0.86,0.58,0.85,0.63,0.83,0.81,0.78,0.97,0.01,0,0.45,0.53,0.65,0.72,0.93,0.85,0.84,0.8,0.9,0.96,0.68,0.03,0.21,0.03,0.72,0.77,0.77,0.08,0.05,0.98,0.06,0.21,0.05,,0.09,0.08,0.2,0.84,0.79,0.05,0.08,0.06,0.34,0.26,0.15,0.2,0.07,0.04,0.03,0.03,0.04,0.05,0.27,0.1,0.08,0.01,0.08
Connecticut,Income,$200K+,0.88,0.62,0.92,0.65,0.89,0.86,0.78,0.97,,,0.4,0.48,0.64,0.71,0.96,0.91,0.87,0.87,0.83,0.98,0.78,0.03,0.23,0.04,0.8,0.88,0.8,0.08,0.05,0.98,0.04,0.14,0.04,,0.06,0.07,0.18,0.9,0.85,0.02,0.07,0.08,0.27,0.17,0.05,0.1,0.02,0.04,0.02,0.02,0.04,0.03,0.22,0.07,0.16,0.04,0.04
Connecticut,Race/Ethnicity,White,0.83,0.55,0.84,0.53,0.79,0.79,0.72,0.92,0.05,0.01,0.47,0.56,0.62,0.68,0.9,0.82,0.8,0.73,0.86,0.91,0.6,0.05,0.27,0.08,0.6,0.68,0.7,0.11,0.09,0.96,0.08,0.23,0.08,,0.1,0.1,0.24,0.77,0.74,0.09,0.13,0.06,0.35,0.27,0.3,0.3,0.14,0.13,0.06,0.1,0.06,0.07,0.26,0.09,0.09,0.02,0.09
Connecticut,Race/Ethnicity,Black,0.76,0.35,0.59,0.36,0.55,0.59,0.71,0.77,0.08,0.03,0.74,0.79,0.66,0.72,0.7,0.63,0.73,0.59,0.83,0.79,0.52,0.22,0.4,0.26,0.52,0.58,0.66,0.13,0.14,0.9,0.1,0.23,0.11,,0.11,0.13,0.32,0.7,0.64,0.12,0.17,0.05,0.2,0.12,0.47,0.43,0.28,0.25,0.16,0.23,0.13,0.21,0.33,0.24,0.11,0.09,0.14
