level,name,rate
districts,Regional School District 09,0.113
districts,Regional School District 10,0.09
districts,Regional School District 11,0.127
districts,Regional School District 12,0.113
districts,Regional School District 13,0.154
districts,Regional School District 14,0.122
districts,Regional School District 15,0.11800000000000001
districts,Regional School District 16,0.099
districts,Regional School District 17,0.171
districts,Regional School District 18,0.094
districts,Regional School District 19,0.065
districts,Ridgefield,0.127
districts,Rocky Hill,0.1
districts,Salem,0.12
districts,Salisbury,0.095
districts,Scotland,NA
districts,Seymour,0.11699999999999999
districts,Sharon,0.128
districts,Shelton,0.124
districts,Sherman,0.069
districts,Side By Side Charter,NA
districts,Simsbury,0.127
districts,Somers,0.10099999999999999
districts,South Windsor,0.131
districts,Southington,0.132
districts,Sprague,0.163
districts,Stafford,0.134
districts,Stamford,0.154
districts,Stamford Academy District,NA
districts,Sterling,0.156
districts,Stonington,0.11699999999999999
districts,Stratford,0.122
districts,Suffield,0.11800000000000001
districts,The Bridge Academy District,0.22699999999999998
districts,The Gilbert,0.09300000000000001
districts,Thomaston,0.081
districts,Thompson,0.124
districts,Tolland,0.221
districts,Torrington,0.102
districts,Trumbull,0.10099999999999999
districts,Vernon,0.21100000000000002
districts,Voluntown,0.114
districts,Wallingford,0.126
districts,Waterbury,0.215
districts,Waterford,0.115
districts,Watertown,0.094
districts,West Hartford,0.141
districts,West Haven,0.122
districts,Westbrook,0.096
districts,Weston,0.051
districts,Westport,0.073
districts,Wethersfield,0.07
districts,Willington,0.18600000000000003
districts,Wilton,0.077
districts,Winchester,NA
districts,Windham,0.205
districts,Windsor,0.21
districts,Windsor Locks,0.134
districts,Wolcott,0.11199999999999999
districts,Woodbridge,0.078
districts,Woodstock,0.161
